user_id,name,email,order_id,order_date,total_amount
1,"Alice Johnson",alice.j@example.com,1,2024-05-01,79.98
1,"Alice Johnson",alice.j@example.com,3,2024-05-04,49.99
1,"Alice Johnson",alice.j@example.com,8,2024-05-09,19.99
1,"Alice Johnson",alice.j@example.com,11,2024-05-12,79.99
1,"Alice Johnson",alice.j@example.com,16,2024-05-17,149.99
1,"Alice Johnson",alice.j@example.com,22,2024-05-23,59.99
1,"Alice Johnson",alice.j@example.com,27,2024-05-28,169.99
1,"Alice Johnson",alice.j@example.com,33,2024-06-04,149.99
1,"Alice Johnson",alice.j@example.com,39,2024-06-10,79.99
1,"Alice Johnson",alice.j@example.com,44,2024-06-15,169.99
1,"Alice Johnson",alice.j@example.com,50,2024-06-21,149.99
1,"Alice Johnson",alice.j@example.com,55,2024-06-26,129.99
1,"Alice Johnson",alice.j@example.com,61,2024-07-02,99.99
1,"Alice Johnson",alice.j@example.com,66,2024-07-07,59.99
1,"Alice Johnson",alice.j@example.com,72,2024-07-13,139.99
1,"Alice Johnson",alice.j@example.com,77,2024-07-18,59.99
1,"Alice Johnson",alice.j@example.com,83,2024-07-24,139.99
1,"Alice Johnson",alice.j@example.com,88,2024-07-29,59.99
1,"Alice Johnson",alice.j@example.com,94,2024-08-04,139.99
1,"Alice Johnson",alice.j@example.com,99,2024-08-09,59.99
1,"Alice Johnson",alice.j@example.com,105,2024-08-15,139.99
1,"Alice Johnson",alice.j@example.com,110,2024-08-20,59.99
1,"Alice Johnson",alice.j@example.com,116,2024-08-26,139.99
1,"Alice Johnson",alice.j@example.com,121,2024-08-31,59.99
2,"Bob Smith",bob.s@example.com,2,2024-05-03,129.99
2,"Bob Smith",bob.s@example.com,5,2024-05-06,89.99
2,"Bob Smith",bob.s@example.com,9,2024-05-10,159.99
2,"Bob Smith",bob.s@example.com,17,2024-05-18,79.99
2,"Bob Smith",bob.s@example.com,23,2024-05-24,199.99
2,"Bob Smith",bob.s@example.com,29,2024-05-30,189.99
2,"Bob Smith",bob.s@example.com,34,2024-06-05,89.99
2,"Bob Smith",bob.s@example.com,40,2024-06-11,159.99
2,"Bob Smith",bob.s@example.com,45,2024-06-16,59.99
2,"Bob Smith",bob.s@example.com,51,2024-06-22,79.99
2,"Bob Smith",bob.s@example.com,56,2024-06-27,69.99
2,"Bob Smith",bob.s@example.com,62,2024-07-03,89.99
2,"Bob Smith",bob.s@example.com,67,2024-07-08,129.99
2,"Bob Smith",bob.s@example.com,73,2024-07-14,79.99
2,"Bob Smith",bob.s@example.com,78,2024-07-19,129.99
2,"Bob Smith",bob.s@example.com,84,2024-07-25,79.99
2,"Bob Smith",bob.s@example.com,89,2024-07-30,129.99
2,"Bob Smith",bob.s@example.com,95,2024-08-05,79.99
2,"Bob Smith",bob.s@example.com,100,2024-08-10,129.99
2,"Bob Smith",bob.s@example.com,106,2024-08-16,79.99
2,"Bob Smith",bob.s@example.com,111,2024-08-21,129.99
2,"Bob Smith",bob.s@example.com,117,2024-08-27,79.99
2,"Bob Smith",bob.s@example.com,122,2024-09-01,129.99
3,"Charlie Brown",charlie.b@example.com,4,2024-05-05,24.99
3,"Charlie Brown",charlie.b@example.com,7,2024-05-08,39.99
3,"Charlie Brown",charlie.b@example.com,13,2024-05-14,199.99
3,"Charlie Brown",charlie.b@example.com,18,2024-05-19,59.99
3,"Charlie Brown",charlie.b@example.com,24,2024-05-25,149.99
3,"Charlie Brown",charlie.b@example.com,30,2024-06-01,69.99
3,"Charlie Brown",charlie.b@example.com,35,2024-06-06,129.99
3,"Charlie Brown",charlie.b@example.com,41,2024-06-12,119.99
3,"Charlie Brown",charlie.b@example.com,46,2024-06-17,109.99
3,"Charlie Brown",charlie.b@example.com,52,2024-06-23,189.99
3,"Charlie Brown",charlie.b@example.com,57,2024-06-28,149.99
3,"Charlie Brown",charlie.b@example.com,63,2024-07-04,159.99
3,"Charlie Brown",charlie.b@example.com,68,2024-07-09,109.99
3,"Charlie Brown",charlie.b@example.com,74,2024-07-15,119.99
3,"Charlie Brown",charlie.b@example.com,79,2024-07-20,109.99
3,"Charlie Brown",charlie.b@example.com,85,2024-07-26,119.99
3,"Charlie Brown",charlie.b@example.com,90,2024-07-31,109.99
3,"Charlie Brown",charlie.b@example.com,96,2024-08-06,119.99
3,"Charlie Brown",charlie.b@example.com,101,2024-08-11,109.99
3,"Charlie Brown",charlie.b@example.com,107,2024-08-17,119.99
3,"Charlie Brown",charlie.b@example.com,112,2024-08-22,109.99
3,"Charlie Brown",charlie.b@example.com,118,2024-08-28,119.99
3,"Charlie Brown",charlie.b@example.com,123,2024-09-02,109.99
4,"Daisy Ridley",daisy.r@example.com,6,2024-05-07,59.99
4,"Daisy Ridley",daisy.r@example.com,14,2024-05-15,29.99
4,"Daisy Ridley",daisy.r@example.com,20,2024-05-21,99.99
4,"Daisy Ridley",daisy.r@example.com,25,2024-05-26,89.99
4,"Daisy Ridley",daisy.r@example.com,31,2024-06-02,39.99
4,"Daisy Ridley",daisy.r@example.com,37,2024-06-08,99.99
4,"Daisy Ridley",daisy.r@example.com,42,2024-06-13,89.99
4,"Daisy Ridley",daisy.r@example.com,48,2024-06-19,99.99
4,"Daisy Ridley",daisy.r@example.com,53,2024-06-24,99.99
4,"Daisy Ridley",daisy.r@example.com,59,2024-06-30,79.99
4,"Daisy Ridley",daisy.r@example.com,64,2024-07-05,199.99
4,"Daisy Ridley",daisy.r@example.com,70,2024-07-11,89.99
4,"Daisy Ridley",daisy.r@example.com,75,2024-07-16,199.99
4,"Daisy Ridley",daisy.r@example.com,81,2024-07-22,89.99
4,"Daisy Ridley",daisy.r@example.com,86,2024-07-27,199.99
4,"Daisy Ridley",daisy.r@example.com,92,2024-08-02,89.99
4,"Daisy Ridley",daisy.r@example.com,97,2024-08-07,199.99
4,"Daisy Ridley",daisy.r@example.com,103,2024-08-13,89.99
4,"Daisy Ridley",daisy.r@example.com,108,2024-08-18,199.99
4,"Daisy Ridley",daisy.r@example.com,114,2024-08-24,89.99
4,"Daisy Ridley",daisy.r@example.com,119,2024-08-29,199.99
4,"Daisy Ridley",daisy.r@example.com,125,2024-09-04,89.99
5,"Leenus Raj",leenus.r@exampl.net,10,2024-05-11,49.99
5,"Leenus Raj",leenus.r@exampl.net,15,2024-05-16,99.99
5,"Leenus Raj",leenus.r@exampl.net,21,2024-05-22,79.99
5,"Leenus Raj",leenus.r@exampl.net,26,2024-05-27,129.99
5,"Leenus Raj",leenus.r@exampl.net,32,2024-06-03,109.99
5,"Leenus Raj",leenus.r@exampl.net,38,2024-06-09,149.99
5,"Leenus Raj",leenus.r@exampl.net,43,2024-06-14,199.99
5,"Leenus Raj",leenus.r@exampl.net,49,2024-06-20,129.99
5,"Leenus Raj",leenus.r@exampl.net,54,2024-06-25,169.99
5,"Leenus Raj",leenus.r@exampl.net,60,2024-07-01,119.99
5,"Leenus Raj",leenus.r@exampl.net,65,2024-07-06,169.99
5,"Leenus Raj",leenus.r@exampl.net,71,2024-07-12,159.99
5,"Leenus Raj",leenus.r@exampl.net,76,2024-07-17,169.99
5,"Leenus Raj",leenus.r@exampl.net,82,2024-07-23,159.99
5,"Leenus Raj",leenus.r@exampl.net,87,2024-07-28,169.99
5,"Leenus Raj",leenus.r@exampl.net,93,2024-08-03,159.99
5,"Leenus Raj",leenus.r@exampl.net,98,2024-08-08,169.99
5,"Leenus Raj",leenus.r@exampl.net,104,2024-08-14,159.99
5,"Leenus Raj",leenus.r@exampl.net,109,2024-08-19,169.99
5,"Leenus Raj",leenus.r@exampl.net,115,2024-08-25,159.99
5,"Leenus Raj",leenus.r@exampl.net,120,2024-08-30,169.99
5,"Leenus Raj",leenus.r@exampl.net,126,2024-09-06,99.32
6,Sathishan,sathish.r@exampl.net,12,2024-05-13,139.99
6,Sathishan,sathish.r@exampl.net,19,2024-05-20,129.99
6,Sathishan,sathish.r@exampl.net,28,2024-05-29,49.99
6,Sathishan,sathish.r@exampl.net,36,2024-06-07,59.99
6,Sathishan,sathish.r@exampl.net,47,2024-06-18,149.99
6,Sathishan,sathish.r@exampl.net,58,2024-06-29,199.99
6,Sathishan,sathish.r@exampl.net,69,2024-07-10,149.99
6,Sathishan,sathish.r@exampl.net,80,2024-07-21,149.99
6,Sathishan,sathish.r@exampl.net,91,2024-08-01,149.99
6,Sathishan,sathish.r@exampl.net,102,2024-08-12,149.99
